id,address_state,application_type,emp_length,emp_title,grade,home_ownership,loan_status,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,issue_date,last_credit_pull_date,last_payment_date,next_payment_date
1077430,GA,INDIVIDUAL,< 1 year,Ryder,C,RENT,Charged Off,1314167,car,C4, 60 months,Source Verified,30000,0.01,59.83,0.1527,2500,4,1009,11/2/2021,9/13/2021,4/13/2021,5/13/2021
1072053,CA,INDIVIDUAL,9 years,MKC Accounting,E,RENT,Fully Paid,1288686,car,E1, 36 months,Source Verified,48000,0.0535,109.43,0.1864,3000,4,3939,1/1/2021,12/14/2021,1/15/2021,2/15/2021
1069243,CA,INDIVIDUAL,4 years,Chemat Technology Inc,C,RENT,Charged Off,1304116,car,C5, 36 months,Not Verified,50000,0.2088,421.65,0.1596,12000,11,3522,5/1/2021,12/12/2021,9/1/2021,9/2/2021
1041756,TX,INDIVIDUAL,< 1 year,barnes distribution,B,MORTGAGE,Fully Paid,1272024,car,B2, 60 months,Source Verified,42000,0.054,97.06,0.1065,4500,9,4911,2/25/2021,12/12/2021,12/3/2021,12/4/2021
1068350,IL,INDIVIDUAL,10+ years,J&J Steel Inc,A,MORTGAGE,Fully Paid,1302971,car,A1, 36 months,Verified,83000,0.0231,106.53,0.0603,3500,28,3835,1/1/2021,12/14/2021,1/15/2021,2/15/2021
1062608,CA,INDIVIDUAL,3 years,Studio 94 Corp,C,RENT,Fully Paid,1294481,car,C3, 36 months,Not Verified,28000,0.126,275.96,0.1465,8000,11,8637,7/17/2021,3/16/2021,12/8/2021,12/9/2021
1067441,TX,INDIVIDUAL,10+ years,American Airlines,C,MORTGAGE,Fully Paid,1301833,car,C2, 36 months,Verified,94800,0.2453,205.86,0.1427,6000,30,7218,11/19/2021,6/14/2021,12/13/2021,1/13/2022
1066424,PA,INDIVIDUAL,10+ years,SCI Mahanoy,A,OWN,Fully Paid,1291243,car,A4, 36 months,Source Verified,59000,0.0665,172.1,0.079,5500,23,6172,11/6/2021,7/14/2021,7/14/2021,8/14/2021
1065254,FL,INDIVIDUAL,10+ years,Tech Data Corp,A,MORTGAGE,Charged Off,1299335,car,A5, 36 months,Verified,116400,0.0394,762.08,0.089,24000,31,8650,2/9/2021,6/15/2021,12/10/2021,12/11/2021
1064589,MI,INDIVIDUAL,10+ years,teltow contracting,B,MORTGAGE,Fully Paid,1298401,car,B5, 60 months,Not Verified,36000,0.1773,93.21,0.1269,4125,21,5551,9/2/2021,3/16/2021,3/16/2021,4/16/2021
1057766,TX,INDIVIDUAL,10+ years,Ericsson,B,MORTGAGE,Fully Paid,1289131,car,B5, 36 months,Not Verified,75000,0.088,181.15,0.1269,5400,33,6277,7/22/2021,9/13/2021,8/13/2021,9/13/2021
1062734,CA,INDIVIDUAL,3 years,myrvpartsplace.com,B,RENT,Charged Off,1295018,car,B4, 36 months,Not Verified,75000,0.2288,374.26,0.1242,11200,13,4225,11/9/2021,3/13/2021,12/10/2021,12/11/2021
1062654,CA,INDIVIDUAL,4 years,AEG LIVE,B,RENT,Fully Paid,1294929,car,B3, 36 months,Not Verified,35000,0.0401,165.38,0.1171,5000,3,5728,11/8/2021,10/13/2021,9/13/2021,10/13/2021
1020855,CA,INDIVIDUAL,5 years,henkel corporation,B,RENT,Fully Paid,1249642,car,B5, 36 months,Not Verified,48000,0.1533,268.36,0.1269,8000,15,9661,11/12/2021,12/14/2021,12/14/2021,1/14/2022
1060945,IL,INDIVIDUAL,4 years,AXA Assistance,B,RENT,Fully Paid,1293124,car,B4, 36 months,Not Verified,92000,0.106,200.5,0.1242,6000,18,7218,11/10/2021,12/14/2021,12/14/2021,1/14/2022
1060995,RI,INDIVIDUAL,< 1 year,HSA-UWC,B,RENT,Charged Off,1292578,car,B4, 36 months,Source Verified,60000,0.063,400.99,0.1242,12000,14,9547,11/12/2021,2/14/2021,10/13/2021,11/13/2021
1046507,TX,INDIVIDUAL,1 year,Child's Day,B,RENT,Fully Paid,1277552,car,B1, 36 months,Verified,16800,0.035,98.29,0.0991,3050,8,3538,2/12/2021,4/16/2021,12/14/2021,1/14/2022
1059936,NY,INDIVIDUAL,4 years,OEC Freight,C,RENT,Fully Paid,1291775,car,C2, 36 months,Source Verified,40000,0.1869,343.09,0.1427,10000,7,11156,9/10/2021,9/15/2021,12/11/2021,12/12/2021
1059497,FL,INDIVIDUAL,10+ years,Sandestin Beach Hilton,B,MORTGAGE,Fully Paid,1291322,car,B2, 36 months,Verified,35000,0.1392,162.87,0.1065,5000,23,5863,12/12/2021,12/14/2021,12/14/2021,1/14/2022
1058060,MD,INDIVIDUAL,10+ years,,D,OWN,Fully Paid,1289636,car,D1, 36 months,Not Verified,40000,0.0957,176.51,0.1629,5000,13,6361,2/2/2021,5/16/2021,2/15/2021,3/15/2021
112245,WI,INDIVIDUAL,6 years,Norman G. Olson Insurance,A,RENT,Fully Paid,112227,car,A2, 36 months,Not Verified,40000,0.0255,155.38,0.0743,5000,7,5594,7/7/2021,4/16/2021,10/8/2021,10/9/2021
207910,FL,INDIVIDUAL,< 1 year,,A,MORTGAGE,Charged Off,183496,car,A2, 36 months,Not Verified,120000,0.0767,69.14,0.0743,2225,20,2508,8/1/2021,5/16/2021,10/2/2021,10/3/2021
65426,MI,INDIVIDUAL,< 1 year,"Infotrieve, Inc.",B,MORTGAGE,Charged Off,232106,car,B1, 36 months,Not Verified,60000,0.1108,131.22,0.1114,4000,33,2755,9/8/2021,5/16/2021,11/6/2021,11/7/2021
211723,MD,INDIVIDUAL,4 years,self employed,C,OWN,Charged Off,211606,car,C2, 36 months,Not Verified,72000,0.0512,262.26,0.1109,8000,8,2135,8/1/2021,9/12/2021,8/8/2021,8/9/2021
662350,NV,INDIVIDUAL,10+ years,Clark County School District,A,MORTGAGE,Charged Off,847024,car,A5, 36 months,Not Verified,70800,0.0795,77.95,0.0766,2500,39,1479,11/1/2021,2/13/2021,12/8/2021,12/9/2021
1006769,PA,INDIVIDUAL,6 years,The Mount Sinai School of Medicine,A,MORTGAGE,Charged Off,1233120,car,A3, 36 months,Not Verified,80000,0.0648,124.45,0.0751,4000,11,2479,11/11/2021,11/13/2021,6/13/2021,7/13/2021
405898,GA,INDIVIDUAL,< 1 year,Blue Ridge Design Group,A,MORTGAGE,Charged Off,454145,car,A5, 36 months,Not Verified,36000,0.15,385.14,0.0963,12000,24,2306,9/6/2021,5/16/2021,9/12/2021,9/1/2022
445846,MI,INDIVIDUAL,10+ years,Abbott Nutrition,A,MORTGAGE,Charged Off,544784,car,A5, 36 months,Not Verified,45000,0.152,222.41,0.0894,7000,24,6446,9/10/2021,5/16/2021,12/2/2021,12/3/2021
659221,MI,INDIVIDUAL,3 years,rice &werthmann,A,MORTGAGE,Charged Off,843127,car,A5, 36 months,Not Verified,86400,0.0385,280.62,0.0766,9000,10,8945,11/1/2021,5/16/2021,10/13/2021,11/13/2021
782425,UT,INDIVIDUAL,6 years,Five County Assoc of Governments,A,MORTGAGE,Charged Off,985412,car,A5, 36 months,Not Verified,24600,0.0785,152.42,0.089,4800,21,1978,11/6/2021,5/16/2021,12/7/2021,12/8/2021
458328,GA,INDIVIDUAL,< 1 year,north ga dentention center,B,MORTGAGE,Charged Off,570309,car,B2, 36 months,Not Verified,30000,0.0992,164.85,0.1148,5000,19,884,10/1/2021,10/11/2021,10/7/2021,10/8/2021
744344,WA,INDIVIDUAL,6 years,,B,MORTGAGE,Charged Off,942813,car,B4, 36 months,Not Verified,48000,0.2357,197.83,0.1149,6000,27,3950,11/5/2021,5/16/2021,1/13/2021,2/13/2021
1026463,FL,INDIVIDUAL,6 years,sky powersports,C,MORTGAGE,Charged Off,1255647,car,C3, 36 months,Not Verified,60000,0.0366,217.32,0.1465,6300,10,5554,11/11/2021,4/14/2021,12/13/2021,1/13/2022
489679,FL,INDIVIDUAL,2 years,Synovus Bank,D,MORTGAGE,Charged Off,624878,car,D4, 36 months,Not Verified,34000,0.1486,210.07,0.157,6000,6,5986,10/3/2021,12/12/2021,12/7/2021,12/8/2021
519658,GA,INDIVIDUAL,< 1 year,ACUMEN FISCAL AGENT/MS ROBINSON,A,OWN,Charged Off,671773,car,A5, 36 months,Not Verified,18000,0.216,148.59,0.0788,4750,16,2216,10/5/2021,12/1/2021,11/8/2021,11/9/2021
470041,CA,INDIVIDUAL,10+ years,inspired automation inc,A,OWN,Charged Off,593245,car,A1, 36 months,Not Verified,43800,0.0737,148.32,0.0705,4800,7,3210,10/1/2021,12/3/2021,11/10/2021,11/11/2021
393852,NH,INDIVIDUAL,10+ years,self,B,OWN,Charged Off,432187,car,B4, 36 months,Not Verified,98736,0.0812,50.58,0.1189,9000,19,1045,9/5/2021,11/6/2021,11/1/2021,11/2/2021
725534,TX,INDIVIDUAL,1 year,Able Electronics,B,OWN,Charged Off,920793,car,B4, 36 months,Not Verified,48000,0.051,60.34,0.1074,1850,45,1655,11/4/2021,12/13/2021,7/13/2021,8/13/2021
428387,PA,INDIVIDUAL,< 1 year,Abraxas I,C,OWN,Charged Off,506847,car,C2, 36 months,Not Verified,27852,0.1021,141.2,0.1284,4200,28,282,9/7/2021,5/16/2021,9/10/2021,9/11/2021
783561,CA,INDIVIDUAL,6 years,La curacao,A,RENT,Charged Off,986688,car,A4, 36 months,Not Verified,48000,0.2585,186.61,0.0749,6000,16,1575,11/6/2021,12/6/2021,12/2/2021,12/3/2021
969474,HI,INDIVIDUAL,7 years,Outback Steakhouse,A,RENT,Charged Off,1190684,car,A5, 36 months,Not Verified,30000,0.1872,228.63,0.089,7200,25,5845,11/10/2021,3/14/2021,10/13/2021,11/13/2021
773111,WA,INDIVIDUAL,3 years,URS corp,A,RENT,Charged Off,975126,car,A5, 36 months,Not Verified,22800,0.0526,75.76,0.0849,2400,3,2278,11/6/2021,4/14/2021,11/13/2021,12/13/2021
472634,FL,INDIVIDUAL,1 year,walmart,A,RENT,Charged Off,596856,car,A1, 36 months,Not Verified,12720,0,231.75,0.0705,7500,9,2073,9/12/2021,11/4/2021,10/11/2021,10/12/2021
494891,MA,INDIVIDUAL,5 years,EdgeStream Inc,B,RENT,Charged Off,633723,car,B5, 36 months,Not Verified,31000,0.0159,182.66,0.1136,5550,5,2083,10/3/2021,4/16/2021,11/3/2021,11/4/2021
458797,NV,INDIVIDUAL,8 years,MAD MATT'S Bar & Grille,B,RENT,Charged Off,571361,car,B2, 36 months,Not Verified,89650,0.0056,725.31,0.1148,22000,19,15424,9/11/2021,11/11/2021,11/7/2021,11/8/2021
743690,OK,INDIVIDUAL,3 years,Dominos Pizza,B,RENT,Charged Off,942003,car,B5, 36 months,Not Verified,45000,0.1464,332.1,0.1199,10000,18,4553,11/5/2021,2/15/2021,12/6/2021,12/7/2021
384963,NJ,INDIVIDUAL,10+ years,Pesci Family,B,RENT,Charged Off,416412,car,B1, 36 months,Not Verified,39996,0.2298,261.71,0.1095,8000,43,6197,9/3/2021,11/7/2021,11/3/2021,11/4/2021
508426,OH,INDIVIDUAL,< 1 year,Forum Health,B,RENT,Charged Off,656002,car,B4, 36 months,Not Verified,49800,0.174,163.68,0.1099,5000,13,3110,10/5/2021,5/16/2021,11/12/2021,11/1/2022
402318,IL,INDIVIDUAL,8 years,River Trails Park District,B,RENT,Charged Off,446914,car,B5, 36 months,Not Verified,15000,0.1688,106.61,0.1221,3200,19,3140,9/5/2021,12/3/2021,11/10/2021,11/11/2021
359401,CA,INDIVIDUAL,2 years,DMS Marketing,C,RENT,Charged Off,366581,car,C3, 36 months,Not Verified,48000,0.1753,200.47,0.1241,6000,14,5104,8/10/2021,5/16/2021,9/9/2021,9/10/2021
290803,TX,INDIVIDUAL,< 1 year,Nesle,C,RENT,Charged Off,290796,car,C2, 36 months,Not Verified,37440,0.0772,98.7,0.1134,3000,14,2798,8/3/2021,10/12/2021,10/8/2021,10/9/2021
847836,AZ,INDIVIDUAL,7 years,24 hour fitness,C,RENT,Charged Off,1059380,car,C3, 36 months,Not Verified,105000,0.135,382.74,0.1399,11200,29,8037,11/8/2021,5/16/2021,5/13/2021,6/13/2021
362098,FL,INDIVIDUAL,2 years,Starbucks,D,RENT,Charged Off,371139,car,D2, 36 months,Not Verified,15000,0.14,136.08,0.1367,4000,13,2685,8/11/2021,11/1/2021,10/8/2021,10/9/2021
1044994,CA,INDIVIDUAL,4 years,URS Corp,D,RENT,Charged Off,1275383,car,D2, 36 months,Not Verified,59100,0.1287,106.62,0.1677,3000,13,2772,11/12/2021,5/16/2021,3/14/2021,4/14/2021
734343,NY,INDIVIDUAL,4 years,Berean Group,B,MORTGAGE,Charged Off,930853,car,B2, 36 months,Not Verified,126000,0.1529,193.61,0.1,6000,22,5796,11/4/2021,3/14/2021,10/13/2021,11/13/2021
126392,WI,INDIVIDUAL,< 1 year,Tideway Systems,A,MORTGAGE,Fully Paid,125914,car,A4, 36 months,Not Verified,173000,0.0072,313.67,0.0807,10000,41,10435,7/9/2021,7/8/2021,8/4/2021,8/5/2021
269289,CT,INDIVIDUAL,< 1 year,mdm golf,A,MORTGAGE,Fully Paid,260821,car,A5, 36 months,Not Verified,60000,0.0894,316.28,0.0863,10000,27,11340,8/3/2021,11/1/2021,10/10/2021,10/11/2021
266282,TX,INDIVIDUAL,5 years,"NetVida Marketing, Inc.",B,MORTGAGE,Fully Paid,188654,car,B2, 36 months,Not Verified,40000,0.1872,257.24,0.0976,8000,35,9149,8/2/2021,10/5/2021,10/5/2021,10/6/2021
243406,NJ,INDIVIDUAL,9 years,CK General Construction,B,MORTGAGE,Fully Paid,243089,car,B2, 36 months,Not Verified,200000,0.0484,192.93,0.0976,6000,22,6945,8/2/2021,12/9/2021,11/2/2021,11/3/2021
226154,MN,INDIVIDUAL,10+ years,Ramsey County,E,MORTGAGE,Fully Paid,225530,car,E1, 36 months,Not Verified,72000,0.2257,170.72,0.1393,5000,44,6146,8/1/2021,11/1/2021,11/2/2021,11/3/2021
253727,WA,INDIVIDUAL,2 years,Central Washington Hospital,A,OWN,Fully Paid,253715,car,A5, 36 months,Not Verified,10000,0,142.33,0.0863,4500,6,5096,8/2/2021,10/9/2021,10/9/2021,10/10/2021
196380,CA,INDIVIDUAL,10+ years,Comerica Bank,A,RENT,Fully Paid,188466,car,A4, 36 months,Not Verified,62000,0.1407,345.06,0.0807,11000,23,12247,8/1/2021,10/2/2021,10/2/2021,10/3/2021
206181,MA,INDIVIDUAL,< 1 year,Lexington Alarm Systems,A,RENT,Fully Paid,167318,car,A1, 36 months,Not Verified,28800,0,108.27,0.0712,3500,5,3863,8/1/2021,4/16/2021,10/4/2021,10/5/2021
219070,CO,INDIVIDUAL,2 years,Arborist Services,B,RENT,Fully Paid,219037,car,B5, 36 months,Not Verified,50000,0.0506,194.91,0.1046,6000,21,6982,8/2/2021,10/9/2021,10/9/2021,10/10/2021
219000,WA,INDIVIDUAL,3 years,Evergreen Treatment Services,B,RENT,Fully Paid,218997,car,B1, 36 months,Not Verified,37000,0.1674,175.42,0.092,5500,36,6320,8/1/2021,11/1/2021,11/1/2021,11/2/2021
281384,TN,INDIVIDUAL,< 1 year,Church of God of Prophecy,C,RENT,Fully Paid,281309,car,C3, 36 months,Not Verified,54263,0.1238,115.69,0.1166,3500,23,4164,8/3/2021,11/3/2021,11/3/2021,11/4/2021
120525,VA,INDIVIDUAL,1 year,Starbucks,C,RENT,Fully Paid,120227,car,C3, 36 months,Not Verified,18000,0.18,130.79,0.1091,4000,5,4708,7/8/2021,11/6/2021,10/8/2021,10/9/2021
